id,lesson_id,title,audio_url,start_seconds,end_seconds,display_order,created_at,updated_at,image_url
25,13,Question 25,/listening/part1/dataset01/q25.mp3,,,25,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q25.jpg
26,17,Question 26,/listening/part1/dataset01/q26.mp3,,,26,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q26.jpg
27,5,Question 27,/listening/part1/dataset01/q27.mp3,,,27,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q27.jpg
28,17,Question 28,/listening/part1/dataset01/q28.mp3,,,28,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q28.jpg
29,17,Question 29,/listening/part1/dataset01/q29.mp3,,,29,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q29.jpg
30,1,Question 30,/listening/part1/dataset01/q30.mp3,,,30,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q30.jpg
31,13,Question 31,/listening/part1/dataset01/q31.mp3,,,31,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q31.jpg
32,1,Question 32,/listening/part1/dataset01/q32.mp3,,,32,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q32.jpg
33,5,Question 33,/listening/part1/dataset01/q33.mp3,,,33,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q33.jpg
34,1,Question 34,/listening/part1/dataset01/q34.mp3,,,34,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q34.jpg
35,5,Question 35,/listening/part1/dataset01/q35.mp3,,,35,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q35.jpg
36,1,Question 36,/listening/part1/dataset01/q36.mp3,,,36,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q36.jpg
37,1,Question 37,/listening/part1/dataset01/q37.mp3,,,37,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q37.jpg
38,5,Question 38,/listening/part1/dataset01/q38.mp3,,,38,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q38.jpg
39,1,Question 39,/listening/part1/dataset01/q39.mp3,,,39,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q39.jpg
40,17,Question 40,/listening/part1/dataset01/q40.mp3,,,40,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q40.jpg
41,5,Question 41,/listening/part1/dataset01/q41.mp3,,,41,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q41.jpg
42,17,Question 42,/listening/part1/dataset01/q42.mp3,,,42,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q42.jpg
43,13,Question 43,/listening/part1/dataset01/q43.mp3,,,43,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q43.jpg
44,17,Question 44,/listening/part1/dataset01/q44.mp3,,,44,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q44.jpg
45,17,Question 45,/listening/part1/dataset01/q45.mp3,,,45,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q45.jpg
46,13,Question 46,/listening/part1/dataset01/q46.mp3,,,46,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q46.jpg
47,9,Question 47,/listening/part1/dataset01/q47.mp3,,,47,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q47.jpg
48,1,Question 48,/listening/part1/dataset01/q48.mp3,,,48,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q48.jpg
49,5,Question 49,/listening/part1/dataset01/q49.mp3,,,49,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q49.jpg
50,5,Question 50,/listening/part1/dataset01/q50.mp3,,,50,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q50.jpg
51,5,Question 51,/listening/part1/dataset01/q51.mp3,,,51,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q51.jpg
52,17,Question 52,/listening/part1/dataset01/q52.mp3,,,52,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q52.jpg
53,1,Question 53,/listening/part1/dataset01/q53.mp3,,,53,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,/listening/part1/images/q53.jpg
