id,test_id,part,title,passage,image_url,audio_url,display_order,group_type,audio_start_time,audio_end_time,knowledge
55,1,5,Question 101,,,,1,READING,0,0,
56,1,5,Question 102,,,,2,READING,0,0,
57,1,5,Question 103,,,,3,READING,0,0,
58,1,5,Question 104,,,,4,READING,0,0,
59,1,5,Question 105,,,,5,READING,0,0,
60,1,5,Question 106,,,,6,READING,0,0,
61,1,5,Question 107,,,,7,READING,0,0,
62,1,5,Question 108,,,,8,READING,0,0,
63,1,5,Question 109,,,,9,READING,0,0,
64,1,5,Question 110,,,,10,READING,0,0,
65,1,5,Question 111,,,,11,READING,0,0,
66,1,5,Question 112,,,,12,READING,0,0,
67,1,5,Question 113,,,,13,READING,0,0,
68,1,5,Question 114,,,,14,READING,0,0,
69,1,5,Question 115,,,,15,READING,0,0,
70,1,5,Question 116,,,,16,READING,0,0,
71,1,5,Question 117,,,,17,READING,0,0,
72,1,5,Question 118,,,,18,READING,0,0,
73,1,5,Question 119,,,,19,READING,0,0,
74,1,5,Question 120,,,,20,READING,0,0,
75,1,5,Question 121,,,,21,READING,0,0,
76,1,5,Question 122,,,,22,READING,0,0,
77,1,5,Question 123,,,,23,READING,0,0,
78,1,5,Question 124,,,,24,READING,0,0,
79,1,5,Question 125,,,,25,READING,0,0,
80,1,5,Question 126,,,,26,READING,0,0,
81,1,5,Question 127,,,,27,READING,0,0,
82,1,5,Question 128,,,,28,READING,0,0,
83,1,5,Question 129,,,,29,READING,0,0,
84,1,5,Question 130,,,,30,READING,0,0,
1,1,1,,,images/part1/1.jpg,audio/placement-test.mp3,1,IMAGE,95,118,
2,1,1,,,images/part1/2.jpg,audio/placement-test.mp3audio/placement-test.mp3,2,IMAGE,123,143,
3,1,1,,,images/part1/3.jpg,audio/placement-test.mp3,3,IMAGE,154,176,
4,1,1,,,images/part1/4.jpg,audio/placement-test.mp3,4,IMAGE,181,202,
7,1,2,,,,audio/placement-test.mp3,7,AUDIO,266,308,
8,1,2,,,,audio/placement-test.mp3,8,AUDIO,313,328,
9,1,2,,,,audio/placement-test.mp3,9,AUDIO,333,348,
10,1,2,,,,audio/placement-test.mp3,10,AUDIO,353,367,
11,1,2,,,,audio/placement-test.mp3,11,AUDIO,372,387,
12,1,2,,,,audio/placement-test.mp3,12,AUDIO,392,406,
13,1,2,,,,audio/placement-test.mp3,13,AUDIO,411,425,
14,1,2,,,,audio/placement-test.mp3,14,AUDIO,430,444,
15,1,2,,,,audio/placement-test.mp3,15,AUDIO,449,464,
16,1,2,,,,audio/placement-test.mp3,16,AUDIO,469,483,
