id,user_id,part,question_count,correct_count,score,started_at,completed_at,question_ids,answers,created_at
1,2,1,6,0,0,2026-08-15 14:12:45.373,,"{9801,9805,9803,9802,9804,9806}",[],2026-08-15 14:12:45.38
2,2,1,6,0,0,2026-08-15 14:12:45.407,,"{16805,16803,16804,16801,16806,16802}",[],2026-08-15 14:12:45.414
3,2,1,6,0,0,2026-08-15 14:20:06.471,,"{8004,8005,8002,8001,8006,8003}",[],2026-08-15 14:20:06.474
4,2,1,6,0,0,2026-08-15 14:43:26.609,,"{19606,19604,19605,19602,19603,19601}",[],2026-08-15 14:43:26.615
5,2,1,6,0,0,2026-08-15 14:43:33.353,,"{8406,8403,8405,8402,8401,8404}",[],2026-08-15 14:43:33.357
6,2,1,6,0,0,2026-08-15 14:43:33.378,,"{11406,11403,11405,11401,11404,11402}",[],2026-08-15 14:43:33.382
7,2,1,6,0,0,2026-08-15 14:50:16.833,,"{17801,17802,17803,17804,17806,17805}",[],2026-08-15 14:50:16.835
8,2,1,6,0,0,2026-08-15 14:52:18.393,,"{2405,2404,2403,2406,2402,2401}",[],2026-08-15 14:52:18.394
9,2,1,6,1,17,2026-08-15 14:55:18.69,2026-08-15 14:55:44.771,"{3806,3805,3803,3804,3802,3801}","[{""optionId"": 14986, ""isCorrect"": false, ""questionId"": 3806, ""optionLabel"": ""C""}, {""optionId"": 14983, ""isCorrect"": true, ""questionId"": 3805, ""optionLabel"": ""D""}, {""optionId"": 14977, ""isCorrect"": false, ""questionId"": 3803, ""optionLabel"": ""C""}, {""optionId"": 14980, ""isCorrect"": false, ""questionId"": 3804, ""optionLabel"": ""C""}, {""optionId"": 14974, ""isCorrect"": false, ""questionId"": 3802, ""optionLabel"": ""C""}, {""optionId"": 14971, ""isCorrect"": false, ""questionId"": 3801, ""optionLabel"": ""C""}]",2026-08-15 14:55:18.691
10,2,1,6,0,0,2026-08-15 14:56:18.824,,"{13405,13402,13403,13401,13406,13404}",[],2026-08-15 14:56:18.827
11,2,2,15,0,0,2026-08-15 14:56:25.423,,"{5825,5824,5819,5829,5814,5822,5810,5831,5828,5812,5818,5807,5808,5816,5815}",[],2026-08-15 14:56:25.425
12,2,2,15,0,0,2026-08-15 14:56:25.447,,"{17225,17221,17218,17231,17212,17215,17208,17211,17224,17213,17210,17230,17226,17209,17220}",[],2026-08-15 14:56:25.449
13,2,1,6,0,0,2026-08-17 17:02:51.199,,"{802,805,803,804,801,806}",[],2026-08-17 17:02:51.202
14,2,1,6,0,0,2026-08-17 17:02:51.243,,"{4403,4401,4402,4404,4405,4406}",[],2026-08-17 17:02:51.247
15,2,1,6,0,0,2026-08-19 17:12:58.617,,"{2,4,5,1,6,3}",[],2026-08-19 17:12:58.619
16,2,1,6,1,17,2026-08-19 17:12:58.645,2026-08-19 17:13:17.982,"{18806,18804,18801,18805,18803,18802}","[{""optionId"": 74535, ""isCorrect"": false, ""questionId"": 18806, ""optionLabel"": ""B""}, {""optionId"": 74530, ""isCorrect"": false, ""questionId"": 18804, ""optionLabel"": ""C""}, {""optionId"": 74520, ""isCorrect"": false, ""questionId"": 18801, ""optionLabel"": ""B""}, {""optionId"": 74533, ""isCorrect"": false, ""questionId"": 18805, ""optionLabel"": ""C""}, {""optionId"": 74527, ""isCorrect"": true, ""questionId"": 18803, ""optionLabel"": ""C""}, {""optionId"": 74523, ""isCorrect"": false, ""questionId"": 18802, ""optionLabel"": ""B""}]",2026-08-19 17:12:58.647
17,2,1,6,0,0,2026-08-19 17:13:39.428,,"{10805,10801,10803,10806,10804,10802}",[],2026-08-19 17:13:39.43
18,2,1,6,2,33,2026-08-19 17:13:39.448,2026-08-19 17:14:00.683,"{16804,16805,16803,16806,16802,16801}","[{""optionId"": 66590, ""isCorrect"": false, ""questionId"": 16804, ""optionLabel"": ""C""}, {""optionId"": 66592, ""isCorrect"": false, ""questionId"": 16805, ""optionLabel"": ""B""}, {""optionId"": 66587, ""isCorrect"": true, ""questionId"": 16803, ""optionLabel"": ""C""}, {""optionId"": 66596, ""isCorrect"": true, ""questionId"": 16806, ""optionLabel"": ""D""}, {""optionId"": 66584, ""isCorrect"": false, ""questionId"": 16802, ""optionLabel"": ""C""}, {""optionId"": null, ""isCorrect"": false, ""questionId"": 16801, ""optionLabel"": null}]",2026-08-19 17:13:39.45
19,2,1,6,0,0,2026-08-19 17:14:19.179,,"{3406,3404,3401,3403,3405,3402}",[],2026-08-19 17:14:19.181
20,2,1,6,3,50,2026-08-19 17:14:19.201,2026-08-19 17:14:41.937,"{802,803,805,801,806,804}","[{""optionId"": 3063, ""isCorrect"": true, ""questionId"": 802, ""optionLabel"": ""B""}, {""optionId"": 3067, ""isCorrect"": false, ""questionId"": 803, ""optionLabel"": ""C""}, {""optionId"": 3073, ""isCorrect"": false, ""questionId"": 805, ""optionLabel"": ""C""}, {""optionId"": 3061, ""isCorrect"": true, ""questionId"": 801, ""optionLabel"": ""C""}, {""optionId"": 3076, ""isCorrect"": false, ""questionId"": 806, ""optionLabel"": ""C""}, {""optionId"": 3070, ""isCorrect"": true, ""questionId"": 804, ""optionLabel"": ""D""}]",2026-08-19 17:14:19.205
21,2,1,6,0,0,2026-08-19 17:15:45.242,,"{6603,6604,6605,6601,6602,6606}",[],2026-08-19 17:15:45.243
22,2,1,6,3,50,2026-08-19 17:15:45.261,2026-08-19 17:15:59.871,"{13606,13604,13603,13602,13605,13601}","[{""optionId"": 53892, ""isCorrect"": true, ""questionId"": 13606, ""optionLabel"": ""C""}, {""optionId"": 53886, ""isCorrect"": false, ""questionId"": 13604, ""optionLabel"": ""C""}, {""optionId"": 53883, ""isCorrect"": true, ""questionId"": 13603, ""optionLabel"": ""D""}, {""optionId"": 53880, ""isCorrect"": false, ""questionId"": 13602, ""optionLabel"": ""C""}, {""optionId"": 53889, ""isCorrect"": false, ""questionId"": 13605, ""optionLabel"": ""C""}, {""optionId"": 53877, ""isCorrect"": true, ""questionId"": 13601, ""optionLabel"": ""D""}]",2026-08-19 17:15:45.263
