id,lesson_id,part,group_number,title,passage,knowledge,display_order,created_at,updated_at
7,1,5,7,Part 5 - Incomplete Sentence 007,,"💡 Mẹo về đại từ: Xác định danh từ mà đại từ thay thế và kiểm tra số ít, số nhiều trước khi chọn đáp án.",7,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
8,1,5,8,Part 5 - Incomplete Sentence 008,,"💡 Mẹo về tính từ sở hữu: my, your, his, her, its, our, their luôn đứng trước danh từ.",8,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
1,1,5,1,Part 5 - Incomplete Sentence 001,,"💡 Mẹo nhận biết danh từ: Sau a, an, the hoặc tính từ sở hữu như my, your, his thường cần một danh từ.",1,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
2,1,5,2,Part 5 - Incomplete Sentence 002,,"💡 Mẹo nhận biết tính từ: Tính từ thường đứng trước danh từ để mô tả danh từ hoặc đứng sau các linking verbs như be, become, seem.",2,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
3,1,5,3,Part 5 - Incomplete Sentence 003,,"💡 Mẹo nhận biết trạng từ: Trạng từ thường bổ nghĩa cho động từ, tính từ hoặc một trạng từ khác. Nhiều trạng từ có đuôi -ly.",3,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
4,1,5,4,Part 5 - Incomplete Sentence 004,,"💡 Mẹo nhận biết động từ: Hãy tìm chủ ngữ trước. Nếu câu chưa có động từ chính, chỗ trống rất có thể cần một động từ.",4,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
5,1,5,5,Part 5 - Incomplete Sentence 005,,💡 Mẹo về chủ ngữ và động từ: Xác định chủ ngữ chính trước khi chia động từ. Đừng để các cụm chen giữa làm bạn nhầm chủ ngữ.,5,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
6,1,5,6,Part 5 - Incomplete Sentence 006,,"💡 Mẹo về danh từ số ít và số nhiều: Kiểm tra từ hạn định như a, an, many, several, each, every để xác định dạng danh từ cần chọn.",6,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
9,1,5,9,Part 5 - Incomplete Sentence 009,,"💡 Mẹo về đại từ quan hệ: who thường dùng cho người, which cho vật/sự việc và whose thể hiện quan hệ sở hữu.",9,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
10,1,5,10,Part 5 - Incomplete Sentence 010,,"💡 Mẹo về mạo từ: a/an dùng cho danh từ đếm được số ít chưa xác định, còn the thường dùng khi người nghe đã biết đối tượng.",10,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
11,1,5,11,Part 5 - Incomplete Sentence 011,,"💡 Mẹo phân biệt a và an: Chọn theo âm đầu khi phát âm, không chỉ dựa vào chữ cái. Ví dụ an hour nhưng a university.",11,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
12,1,5,12,Part 5 - Incomplete Sentence 012,,"💡 Mẹo về giới từ thời gian: at thường dùng với giờ, on với ngày/ngày cụ thể và in với tháng, năm hoặc khoảng thời gian dài.",12,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
13,1,5,13,Part 5 - Incomplete Sentence 013,,"💡 Mẹo về giới từ địa điểm: at thường chỉ một điểm, in chỉ không gian/khu vực và on thường dùng với bề mặt.",13,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
14,1,5,14,Part 5 - Incomplete Sentence 014,,"💡 Mẹo học giới từ: Hãy học theo cụm cố định như interested in, responsible for, depend on và participate in.",14,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
15,1,5,15,Part 5 - Incomplete Sentence 015,,"💡 Mẹo về thì hiện tại đơn: Chú ý các dấu hiệu như every day, usually, often, always, sometimes.",15,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
16,1,5,16,Part 5 - Incomplete Sentence 016,,"💡 Mẹo về thì hiện tại tiếp diễn: Chú ý now, currently, at the moment hoặc hành động đang xảy ra tại thời điểm nói.",16,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
17,1,5,17,Part 5 - Incomplete Sentence 017,,"💡 Mẹo về quá khứ đơn: yesterday, last week, last year, ago thường là dấu hiệu quan trọng.",17,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
18,1,5,18,Part 5 - Incomplete Sentence 018,,"💡 Mẹo về hiện tại hoàn thành: Chú ý since, for, already, yet, ever, never và recently.",18,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
19,1,5,19,Part 5 - Incomplete Sentence 019,,"💡 Mẹo phân biệt since và for: since đi với một mốc thời gian, còn for đi với một khoảng thời gian.",19,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
20,1,5,20,Part 5 - Incomplete Sentence 020,,"💡 Mẹo về thì tương lai: will thường diễn tả quyết định, dự đoán hoặc hành động trong tương lai.",20,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
21,2,5,21,Part 5 - Incomplete Sentence 021,,💡 Mẹo phân biệt will và be going to: be going to thường dùng cho kế hoạch hoặc dự định đã có từ trước.,21,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
22,2,5,22,Part 5 - Incomplete Sentence 022,,"💡 Mẹo về modal verbs: Sau can, could, may, might, must, should và will luôn dùng động từ nguyên mẫu.",22,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
23,2,5,23,Part 5 - Incomplete Sentence 023,,"💡 Mẹo về động từ nguyên mẫu: Sau to thường dùng động từ nguyên mẫu như to work, to study, to improve.",23,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
24,2,5,24,Part 5 - Incomplete Sentence 024,,"💡 Mẹo về gerund: Sau các động từ như enjoy, avoid, finish, consider thường dùng V-ing.",24,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
25,2,5,25,Part 5 - Incomplete Sentence 025,,💡 Mẹo phân biệt to V và V-ing: Học theo động từ đi trước vì mỗi động từ có thể yêu cầu cấu trúc khác nhau.,25,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
26,2,5,26,Part 5 - Incomplete Sentence 026,,"💡 Mẹo về bị động: Nếu chủ ngữ là đối tượng nhận hành động, hãy kiểm tra cấu trúc be + V3/ed.",26,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
27,2,5,27,Part 5 - Incomplete Sentence 027,,💡 Mẹo nhận biết câu bị động: Các cụm by + người/vật thực hiện hành động thường là dấu hiệu hỗ trợ.,27,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
28,2,5,28,Part 5 - Incomplete Sentence 028,,"💡 Mẹo về so sánh hơn: Tính từ ngắn thường dùng -er, còn tính từ dài thường dùng more.",28,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
29,2,5,29,Part 5 - Incomplete Sentence 029,,💡 Mẹo về so sánh nhất: Chú ý the + -est hoặc the most + adjective.,29,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
