id,test_id,part,title,passage,image_url,audio_url,display_order,group_type,audio_start_time,audio_end_time
1,1,1,,,images/part1/1.jpg,,1,IMAGE,,
2,1,1,,,images/part1/2.jpg,,2,IMAGE,,
3,1,1,,,images/part1/3.jpg,,3,IMAGE,,
4,1,1,,,images/part1/4.jpg,,4,IMAGE,,
5,1,1,,,images/part1/5.jpg,,5,IMAGE,,
6,1,1,,,images/part1/6.jpg,,6,IMAGE,,
7,1,2,,,,audio/placement-test.mp3,7,AUDIO,,
8,1,2,,,,audio/placement-test.mp3,8,AUDIO,,
9,1,2,,,,audio/placement-test.mp3,9,AUDIO,,
10,1,2,,,,audio/placement-test.mp3,10,AUDIO,,
11,1,2,,,,audio/placement-test.mp3,11,AUDIO,,
12,1,2,,,,audio/placement-test.mp3,12,AUDIO,,
13,1,2,,,,audio/placement-test.mp3,13,AUDIO,,
14,1,2,,,,audio/placement-test.mp3,14,AUDIO,,
15,1,2,,,,audio/placement-test.mp3,15,AUDIO,,
16,1,2,,,,audio/placement-test.mp3,16,AUDIO,,
17,1,2,,,,audio/placement-test.mp3,17,AUDIO,,
18,1,2,,,,audio/placement-test.mp3,18,AUDIO,,
19,1,2,,,,audio/placement-test.mp3,19,AUDIO,,
20,1,2,,,,audio/placement-test.mp3,20,AUDIO,,
21,1,2,,,,audio/placement-test.mp3,21,AUDIO,,
22,1,2,,,,audio/placement-test.mp3,22,AUDIO,,
23,1,2,,,,audio/placement-test.mp3,23,AUDIO,,
24,1,2,,,,audio/placement-test.mp3,24,AUDIO,,
25,1,2,,,,audio/placement-test.mp3,25,AUDIO,,
26,1,2,,,,audio/placement-test.mp3,26,AUDIO,,
27,1,2,,,,audio/placement-test.mp3,27,AUDIO,,
28,1,2,,,,audio/placement-test.mp3,28,AUDIO,,
29,1,2,,,,audio/placement-test.mp3,29,AUDIO,,
30,1,2,,,,audio/placement-test.mp3,30,AUDIO,,
31,1,2,,,,audio/placement-test.mp3,31,AUDIO,,
32,1,3,,,,audio/placement-test.mp3,1,AUDIO,,
33,1,3,,,,audio/placement-test.mp3,2,AUDIO,,
34,1,3,,,,audio/placement-test.mp3,3,AUDIO,,
35,1,3,,,,audio/placement-test.mp3,4,AUDIO,,
36,1,3,,,,audio/placement-test.mp3,5,AUDIO,,
37,1,3,,,,audio/placement-test.mp3,6,AUDIO,,
38,1,3,,,,audio/placement-test.mp3,7,AUDIO,,
39,1,3,,,,audio/placement-test.mp3,8,AUDIO,,
40,1,3,,,,audio/placement-test.mp3,9,AUDIO,,
41,1,3,,,,audio/placement-test.mp3,10,AUDIO,,
43,1,3,,,images/part3/43.jpg,audio/placement-test.mp3,12,AUDIO,,
44,1,3,,,images/part3/44.jpg,audio/placement-test.mp3,13,AUDIO,,
42,1,3,,,images/part3/42.jpg,audio/placement-test.mp3,11,AUDIO,,
45,1,4,,,,audio/placement-test.mp3,1,AUDIO,0,0
46,1,4,,,,audio/placement-test.mp3,2,AUDIO,0,0
47,1,4,,,,audio/placement-test.mp3,3,AUDIO,0,0
48,1,4,,,,audio/placement-test.mp3,4,AUDIO,0,0
49,1,4,,,,audio/placement-test.mp3,5,AUDIO,0,0
50,1,4,,,,audio/placement-test.mp3,6,AUDIO,0,0
51,1,4,,,,audio/placement-test.mp3,7,AUDIO,0,0
52,1,4,,,,audio/placement-test.mp3,8,AUDIO,0,0
53,1,4,,,images/part4/95_97.jpg,audio/placement-test.mp3,9,AUDIO,0,0
54,1,4,,,images/part4/98_100.jpg,audio/placement-test.mp3,10,AUDIO,0,0
55,1,5,Question 101,,,,1,READING,0,0
56,1,5,Question 102,,,,2,READING,0,0
57,1,5,Question 103,,,,3,READING,0,0
58,1,5,Question 104,,,,4,READING,0,0
59,1,5,Question 105,,,,5,READING,0,0
60,1,5,Question 106,,,,6,READING,0,0
61,1,5,Question 107,,,,7,READING,0,0
62,1,5,Question 108,,,,8,READING,0,0
63,1,5,Question 109,,,,9,READING,0,0
64,1,5,Question 110,,,,10,READING,0,0
65,1,5,Question 111,,,,11,READING,0,0
66,1,5,Question 112,,,,12,READING,0,0
67,1,5,Question 113,,,,13,READING,0,0
68,1,5,Question 114,,,,14,READING,0,0
69,1,5,Question 115,,,,15,READING,0,0
70,1,5,Question 116,,,,16,READING,0,0
71,1,5,Question 117,,,,17,READING,0,0
72,1,5,Question 118,,,,18,READING,0,0
73,1,5,Question 119,,,,19,READING,0,0
74,1,5,Question 120,,,,20,READING,0,0
75,1,5,Question 121,,,,21,READING,0,0
76,1,5,Question 122,,,,22,READING,0,0
77,1,5,Question 123,,,,23,READING,0,0
78,1,5,Question 124,,,,24,READING,0,0
79,1,5,Question 125,,,,25,READING,0,0
80,1,5,Question 126,,,,26,READING,0,0
81,1,5,Question 127,,,,27,READING,0,0
82,1,5,Question 128,,,,28,READING,0,0
83,1,5,Question 129,,,,29,READING,0,0
84,1,5,Question 130,,,,30,READING,0,0
85,1,6,Questions 131-134,"Local Barbershop Wins State Competition

By Miranda Warren

MALENDA COUNTY (January 12)—Pat and Kenny's Barbershop, [131] at 3949 Grand Street, has been named the best barbershop in the state by the Barber and Hairdresser's Coalition. The criteria for selection include reputation, affordability, professionalism, and accreditations.

[132].

Founders and owners Kenneth Webber and Patrick Miller have been best friends since childhood. [133] opened the shop 34 years ago. [134] the shop retains its old-fashioned charm, the barbers have mastered the latest styles, not just the more traditional ones. People of all ages seeking a haircut or a new style should try Pat and Kenny's Barbershop.",,,31,READING,0,0
86,1,6,Questions 135-138,"Gasgo Propane Tank Exchange

You have chosen a safe and [135] way to obtain fuel for your stoves, grills, heaters, fireplaces, or other devices. Simply follow the directions [136].

When your tank runs out of propane, take it to our store and leave it on one of the clearly marked green shelves outside the store. [137]. Then, pay the cashier inside the store for a fresh tank of propane. Next, the cashier or another staff member will accompany you to the outdoor exchange area. The staff person will give you a full tank to take home and provide help if you have multiple tanks to carry. Follow the instructions on the tank to connect it to your device.

Be sure to visit us again when you need a [138].",,,32,READING,0,0
87,1,6,Questions 139-142,"To: Technicarn Enterprises Customers
From: Technicarn Enterprises Customer Service
Date: 10 September
Subject: Serving You

Dear Valued Customer:

We want your [139] with Technicarn Enterprises to be easy and enjoyable. To that end, we are pleased to announce our newly designed Web site, with enhanced customer-friendly features.

Our new Web site provides answers to your questions 24 hours a day, every day of the year.

On our home page, you can get information about system setup, or you can troubleshoot by visiting [140] the Internet Issues or TV and Streaming Issues pages. [141], you can find detailed information concerning account management, access, billing, and payment.

[142]. Please explore the new Web site at your earliest convenience: www.technicarnenterprises.com. As always, thank you for allowing us to serve you.

Best regards,

The Technicarn Enterprises Customer Service Team",,,33,READING,0,0
88,1,6,Questions 143-146,"Garner City Transport Cares About the Environment

Beginning May 1, the sale and use of paper tickets and transit passes will be [143] on all Garner City Transport bus and subway lines. This change applies to single-ride tickets [144] to weekly and monthly passes. Eliminating paper benefits the environment and leads to less litter.

Riders can download the free Garner City Transport app. With the app, they can add money their accounts, purchase tickets, plan [145], and track arrival and departure times.

Alternatively, passengers can purchase a rechargeable transit card at any station. [146]. Value can be added to the card via the Garner City Transport Web site at www.garnercitytransport.org.",,,34,READING,0,0
89,1,7,Questions 147-148,"Advertisement

Harbis Stationery Store Clearance Sale

Prices indicated are for in-store purchases only.

500 Pinstone Street / SHEFFIELD / S12HN

Seasonal items

• Box of ten preprinted seasonal cards (25% off) ........ £8.99
• Box of five customizable seasonal cards or invitations (50% off) ........ £11.99

All school supplies 10% off

• Box of 24 pens ........ £1.79
• Desk lamp ........ £19.99
• Wireless mouse ........ £17.99
• Backpack ........ £29.99

Visit Harbis Stationery at www.harbisstationery.uk",,,1,READING,0,0
90,1,7,Questions 149-150,"E-Mail

To: Wenbin Peng <wpeng@chenconstruction.com>
From: Toshi Auto Group <cs@toshiautogroup.com>
Date: February 26
Subject: Your leased vehicle

Dear Mr. Peng:

As you know, Toshi Auto Group handles all the service needs for cars leased by employees of Chen Construction. According to our records, you took possession of your leased car on March 1 of last year. Your car is now due for its required annual service and maintenance check. To book your appointment, please call us at (215) 555-0109 or visit us online at www.toshiautogroup.com/serviceappointments.

Sincerely,

Toshi Auto Group
Customer Service",,,2,READING,0,0
